2025-12-18 20:58:52 INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
2025-12-18 20:58:56 INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-fgdctwf-shard-00-00.rdlzl4t.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=181636900, setName='atlas-4eimto-shard-0', canonicalAddress=ac-fgdctwf-shard-00-00.rdlzl4t.mongodb.net:27017, hosts=[ac-fgdctwf-shard-00-01.rdlzl4t.mongodb.net:27017, ac-fgdctwf-shard-00-02.rdlzl4t.mongodb.net:27017, ac-fgdctwf-shard-00-00.rdlzl4t.mongodb.net:27017], passives=[], arbiters=[], primary='ac-fgdctwf-shard-00-02.rdlzl4t.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=192, topologyVersion=TopologyVersion{processId=6942d97cd83f3cbdfd4c7da3, counter=4}, lastWriteDate=Thu Dec 18 20:58:55 IST 2025, lastUpdateTimeNanos=25802759053900}
2025-12-18 20:58:56 INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-fgdctwf-shard-00-01.rdlzl4t.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=183379700, setName='atlas-4eimto-shard-0', canonicalAddress=ac-fgdctwf-shard-00-01.rdlzl4t.mongodb.net:27017, hosts=[ac-fgdctwf-shard-00-01.rdlzl4t.mongodb.net:27017, ac-fgdctwf-shard-00-02.rdlzl4t.mongodb.net:27017, ac-fgdctwf-shard-00-00.rdlzl4t.mongodb.net:27017], passives=[], arbiters=[], primary='ac-fgdctwf-shard-00-02.rdlzl4t.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=192, topologyVersion=TopologyVersion{processId=6942da1678808a2e25999eb3, counter=3}, lastWriteDate=Thu Dec 18 20:58:55 IST 2025, lastUpdateTimeNanos=25802759127100}
2025-12-18 20:58:56 INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff00000000000001f5 from replica set primary ac-fgdctwf-shard-00-02.rdlzl4t.mongodb.net:27017
2025-12-18 20:58:56 INFO  org.mongodb.driver.cluster - Setting max set version to 192 from replica set primary ac-fgdctwf-shard-00-02.rdlzl4t.mongodb.net:27017
2025-12-18 20:58:56 INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-fgdctwf-shard-00-02.rdlzl4t.mongodb.net:27017
2025-12-18 20:58:56 INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:72794}] to ac-fgdctwf-shard-00-02.rdlzl4t.mongodb.net:27017
2025-12-18 20:58:56 INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@37bc3ce3, org.springframework.security.web.context.SecurityContextPersistenceFilter@558f5a45, org.springframework.security.web.header.HeaderWriterFilter@2f5f8648, org.springframework.security.web.authentication.logout.LogoutFilter@2bb1cd69, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@69ccae32, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@284c09ac, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@462b4106, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6b71ab1e, org.springframework.security.web.session.SessionManagementFilter@3c91b18, org.springframework.security.web.access.ExceptionTranslationFilter@70b3404c, org.springframework.security.web.access.intercept.AuthorizationFilter@66837511]
2025-12-18 20:58:56 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2025-12-18 20:58:56 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path '/app.ejournal.org'
2025-12-18 20:58:56 INFO  o.e.a.m.JournalApplication1uptoSonarQubeApplication - Started JournalApplication1uptoSonarQubeApplication in 2.615 seconds (JVM running for 3.222)
2025-12-18 20:59:09 INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
